routeID,operator
1,Stagecoach
1,Stagecoach
101,Stagecoach
10,Stagecoach
10,Stagecoach
10,Stagecoach
10,Stagecoach
10,Stagecoach
105,Stagecoach
10,Stagecoach
116,Stagecoach
12,Stagecoach
12,Stagecoach
1,Stagecoach
12,Stagecoach
12,Stagecoach
13,Stagecoach
14,Stagecoach
140,Stagecoach
146,Stagecoach
151,Stagecoach
16,Stagecoach
16,Stagecoach
18A,Stagecoach
18,Stagecoach
1,Stagecoach
1,Stagecoach
20,Stagecoach
20,Stagecoach
20,Stagecoach
22,Stagecoach
23,Stagecoach
23,Stagecoach
23,Stagecoach
30,Stagecoach
30,Stagecoach
30,Stagecoach
31,Stagecoach
13,Stagecoach
13,Stagecoach
13,Stagecoach
32A,Stagecoach
34,Stagecoach
35,Stagecoach
36,Stagecoach
13B,Stagecoach
37,Stagecoach
39,Stagecoach
39,Stagecoach
3,Stagecoach
49,Stagecoach
4,Stagecoach
4,Stagecoach
4,Stagecoach
51,Stagecoach
52,Stagecoach
556,Stagecoach
575,Stagecoach
57,Stagecoach
59,Stagecoach
594,Stagecoach
59,Stagecoach
6,Stagecoach
61,Stagecoach
62,Stagecoach
656,Stagecoach
660,Stagecoach
664,Stagecoach
665,Stagecoach
6,Stagecoach
6,Stagecoach
671,Stagecoach
674,Stagecoach
6,Stagecoach
681,Stagecoach
682,Stagecoach
685,Stagecoach
685,Stagecoach
685,Stagecoach
686,Stagecoach
695,Stagecoach
7,Stagecoach
71,Stagecoach
7,Stagecoach
8,Stagecoach
8,Stagecoach
801,Stagecoach
804,Stagecoach
815,Stagecoach
816,Stagecoach
820,Stagecoach
821,Stagecoach
991,Stagecoach
CC1,Stagecoach
CC2,Stagecoach
E1,Stagecoach
E1,Stagecoach
168,Gateshead Central Taxis Ltd
19,GHCT
19,GHCT
204A,Gateshead Central Taxis Ltd
204A,Gateshead Central Taxis Ltd
204,Gateshead Central Taxis Ltd
204,Gateshead Central Taxis Ltd
29,Gateshead Central Taxis Ltd
335,Gateshead Central Taxis Ltd
335,Gateshead Central Taxis Ltd
350,Gateshead Central Taxis Ltd
350,Gateshead Central Taxis Ltd
350,Gateshead Central Taxis Ltd
351,Gateshead Central Taxis Ltd
351,Gateshead Central Taxis Ltd
351,Gateshead Central Taxis Ltd
40A,Gateshead Central Taxis Ltd
40C,Gateshead Central Taxis Ltd
40,Gateshead Central Taxis Ltd
40,Gateshead Central Taxis Ltd
41,Gateshead Central Taxis Ltd
42,Gateshead Central Taxis Ltd
47,Gateshead Central Taxis Ltd
515,Gateshead Central Taxis Ltd
515,Gateshead Central Taxis Ltd
520,Gateshead Central Taxis Ltd
520,Gateshead Central Taxis Ltd
52,Gateshead Central Taxis Ltd
53,Gateshead Central Taxis Ltd
558,Gateshead Central Taxis Ltd
558,Gateshead Central Taxis Ltd
568,Gateshead Central Taxis Ltd
568,Gateshead Central Taxis Ltd
61,Gateshead Central Taxis Ltd
62,Gateshead Central Taxis Ltd
62,Gateshead Central Taxis Ltd
653,Gateshead Central Taxis Ltd
653,Gateshead Central Taxis Ltd
71,Gateshead Central Taxis Ltd
71,Gateshead Central Taxis Ltd
82A,Gateshead Central Taxis Ltd
82,Gateshead Central Taxis Ltd
90,Gateshead Central Taxis Ltd
92,Gateshead Central Taxis Ltd
M71,Gateshead Central Taxis Ltd
PR1,Gateshead Central Taxis Ltd
PR1,Gateshead Central Taxis Ltd
PR1,Gateshead Central Taxis Ltd
PR1,Gateshead Central Taxis Ltd
PR2,Gateshead Central Taxis Ltd
R3,Gateshead Central Taxis Ltd
R3,Gateshead Central Taxis Ltd
R3,Gateshead Central Taxis Ltd
R3,Gateshead Central Taxis Ltd
R4,Gateshead Central Taxis Ltd
R4,Gateshead Central Taxis Ltd
R4,Gateshead Central Taxis Ltd
R4,Gateshead Central Taxis Ltd
R6,Gateshead Central Taxis Ltd
R6,Gateshead Central Taxis Ltd
R6,Gateshead Central Taxis Ltd
R6,Gateshead Central Taxis Ltd
T123,Gateshead Central Taxis Ltd
T123,Gateshead Central Taxis Ltd
TB14,Gateshead Central Taxis Ltd
TB22,Gateshead Central Taxis Ltd
TB23,Gateshead Central Taxis Ltd
TB29,Gateshead Central Taxis Ltd
W1,Gateshead Central Taxis Ltd
W2,Gateshead Central Taxis Ltd
W2,Gateshead Central Taxis Ltd
X46,Gateshead Central Taxis Ltd
X46,Gateshead Central Taxis Ltd
103,Go North East
104,Go North East
104,Go North East
10A,Go North East
10A,Go North East
10A,Go North East
10A,Go North East
10A,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10B,Go North East
10,Go North East
10,Go North East
10,Go North East
10,Go North East
10,Go North East
116,Go North East
12,Go North East
12,Go North East
12,Go North East
12,Go North East
12,Go North East
12,Go North East
12,Go North East
135,Go North East
137,Go North East
139,Go North East
140,Go North East
143,Go North East
143,Go North East
145,Go North East
145,Go North East
14,Go North East
14,Go North East
14,Go North East
